"slug","profile_url","trading_name","legal_name","company_code","city","street_address","postcode","region_label","website","public_phone","contact_route_status","categories","public_source_urls","verification_date"
"furnmaster","https://www.baldininkai.org/gamintojas/furnmaster/","FurnMaster","UAB FurnMaster","302900446","Marijampolė","Geležinkelio g. 3, Marijampolė","LT-68127","Klaipėda, Panevėžys, vakarų ir centrinė Lietuva","","+370 683 60184","public_phone","Kiti nestandartiniai baldai","https://www.furnmaster.com/global-presence/ | https://rekvizitai.vz.lt/en/company/furnmaster/","2026-07-28"
"baldmaris","https://www.baldininkai.org/gamintojas/baldmaris/","Baldmaris","","000977017","Tauragė","","","Klaipėda, Panevėžys, vakarų ir centrinė Lietuva","https://baldmaris.lt/","","public_contact_url","Kiti nestandartiniai baldai","https://baldmaris.lt/","2026-07-28"
"aurimo-korpusiniu-baldu-gamyba","https://www.baldininkai.org/gamintojas/aurimo-korpusiniu-baldu-gamyba/","Aurimo korpusinių baldų gamyba","Aurimo korpusinių baldų gamyba (individual activity)","001081836","Norkaičiai, Tauragė r.","","","Klaipėda, Panevėžys, vakarų ir centrinė Lietuva","https://www.cabinetfurniture.lt/en","","public_contact_url","Virtuvės baldai | Spintos ir įmontuojami baldai | Miegamojo ir vonios baldai | Biuro ir komerciniai baldai","https://www.cabinetfurniture.lt/en","2026-07-28"
"uosvita","https://www.baldininkai.org/gamintojas/uosvita/","Uosvita","MB Uosvita","306394626","Jurbarkas","Dariaus ir Girėno g. 50, Jurbarkas","LT-74119","Klaipėda, Panevėžys, vakarų ir centrinė Lietuva","","+370 652 40155","public_phone","Medžio darbai ir medžio masyvo baldai","https://www.manreikia.lt/imone/uosvita-mb | https://rekvizitai.vz.lt/en/company/uosvita_mb/","2026-07-28"
"laukbaldis","https://www.baldininkai.org/gamintojas/laukbaldis/","Laukbaldis","UAB Laukbaldis","179472173","Dapkiškiai, Tauragė r.","Laukų g. 7, Dapkiškių k., Tauragės r.","","Klaipėda, Panevėžys, vakarų ir centrinė Lietuva","https://laukbaldis.lt/","+370 610 29545","public_phone_and_contact_url","Medžio darbai ir medžio masyvo baldai","https://laukbaldis.lt/ | https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Taurag%C4%97 | https://rekvizitai.vz.lt/en/company/laukbaldis/","2026-07-28"
"tvirte","https://www.baldininkai.org/gamintojas/tvirte/","Tvirtė","UAB Tvirtė","303309275","Tauragė","J. Mažeikos g. 6, Tauragė","","Klaipėda, Panevėžys, vakarų ir centrinė Lietuva","","+370 685 49307","public_phone","Kiti nestandartiniai baldai","https://www.tvirte.com/ | https://rekvizitai.vz.lt/en/company/tvirte/","2026-07-28"
"rejben","https://www.baldininkai.org/gamintojas/rejben/","Rejben","UAB Rejben","125962387","Vilnius","Liudvinavo g. 24, Vilnius","LT-02241","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 5 2602687","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/rejben/","2026-07-28"
"uab-gm-art-306083828","https://www.baldininkai.org/gamintojas/uab-gm-art-306083828/","UAB ""GM ART""","UAB ""GM ART""","306083828","Šlapšilė","Šlapšilės g. 25","LT-96173","Klaipėda, Panevėžys, vakarų ir centrinė Lietuva","","+37064057000","public_phone","Kiti nestandartiniai baldai","https://get.data.gov.lt/datasets/gov/lsd/cl/ja_asmenys/JuridinisAsmuo/1a0c2d53-0e8b-473a-b63c-a0a997f9cea3 | https://get.data.gov.lt/datasets/gov/rc/ar/gyvenamojivietove/GyvenamojiVietove/0e938e28-78ae-4ea5-a71c-70c47ea37896 | https://get.data.gov.lt/datasets/gov/rc/ar/adresai/Adresas/e497c172-af2c-4a5f-ab98-a2567a2406d0 | https://rekvizitai.vz.lt/en/company/gm_art/","2026-07-28"
"rinkos-banga","https://www.baldininkai.org/gamintojas/rinkos-banga/","Rinkos banga","UAB Rinkos banga","306272273","Vilnius","Šeškinės Sodų g. 12-5, Vilnius","","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 641 09900","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/rinkos_banga/","2026-07-28"
"farbina","https://www.baldininkai.org/gamintojas/farbina/","Farbina","UAB Farbina","304424953","Vilnius","Girulių g. 10-201, Vilnius","","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 643 20226","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/farbina/","2026-07-28"
"ralko","https://www.baldininkai.org/gamintojas/ralko/","Ralko","UAB Ralko","300110503","Vilnius","Savanorių pr. 176F, Vilnius","LT-03154","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 5 2695499","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/ralko/","2026-07-28"
"medzio-spalvos","https://www.baldininkai.org/gamintojas/medzio-spalvos/","Medžio spalvos","MB Medžio spalvos","306289155","Riešė","Trinapolio g. 9C-39, Vilnius","LT-08337","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 671 91023","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/medzio_spalvos/","2026-07-28"
"baldu-vizija","https://www.baldininkai.org/gamintojas/baldu-vizija/","Baldų vizija","MB Baldų vizija","305728852","Riešė","Beržų g. 5, Riešės k., Vilniaus r.","LT-14266","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 671 26780","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/baldu_vizija/","2026-07-28"
"auseda","https://www.baldininkai.org/gamintojas/auseda/","Auseda","MB Auseda","306213104","Vilnius","Tujų g. 11-7, Vilnius","","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 672 90856","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/auseda/","2026-07-28"
"janer","https://www.baldininkai.org/gamintojas/janer/","Janer","MB Janer","306646842","Vilnius","Naugarduko g. 68-3, Vilnius","LT-03203","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 631 98141","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/janer_mb/","2026-07-28"
"kybo","https://www.baldininkai.org/gamintojas/kybo/","Kybo","MB Kybo","305343454","Vilnius","Babriškėlio k. 5, Babriškėlio k., Širvintų r.","","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 626 20945","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/kybo/","2026-07-28"
"baldaila","https://www.baldininkai.org/gamintojas/baldaila/","Baldaila","MB Baldaila","305726050","Vilnius","Tujų g. 26","LT-53333","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","","public_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://www.baldaila.lt/kontaktai/ | https://get.data.gov.lt/datasets/gov/rc/ar/adresai/Adresas/2770b398-57c4-49aa-876b-d257bd9b095a","2026-07-28"
"drimstoga","https://www.baldininkai.org/gamintojas/drimstoga/","Drimstoga","UAB Drimstoga","186147187","Nemenčinė","Vasaros g. 14A, Nemenčinė, Vilniaus r.","","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 620 61075","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/uab_drimstoga/","2026-07-28"
"suduvos-baldai","https://www.baldininkai.org/gamintojas/suduvos-baldai/","Sūduvos baldai","UAB Sūduvos baldai","151204721","Vilnius","Gedimino g. 96","LT-68118","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","","public_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/morita/ | https://get.data.gov.lt/datasets/gov/rc/ar/adresai/Adresas/ff287656-828e-4826-8b21-d6ac37507c59","2026-07-28"
"sedes-regia","https://www.baldininkai.org/gamintojas/sedes-regia/","Sedes Regia","UAB Sedes Regia","221579830","Vilnius","Arimų g. 29B, Vilnius","LT-11114","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 5 2485239","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/sedes_regia/","2026-07-28"
"dalisima","https://www.baldininkai.org/gamintojas/dalisima/","Dalisima","UAB Dalisima","125688274","Vilnius","Pramonės g. 141, Vilnius","LT-11115","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 5 2653260","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/dalisima/","2026-07-28"
"interjero-ateleje","https://www.baldininkai.org/gamintojas/interjero-ateleje/","Interjero ateljė","UAB Interjero ateljė","122086661","Vilnius","Lakūnų g. 47, Vilnius","LT-09108","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 5 2750692","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/interjero_atelje/","2026-07-28"
"balticum-baldai","https://www.baldininkai.org/gamintojas/balticum-baldai/","Balticum baldai","UAB Balticum baldai","124045389","Vilnius","J. Galvydžio g. 11A-7, Vilnius","LT-08236","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 5 2771628","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/balticum_baldai/","2026-07-28"
"emira","https://www.baldininkai.org/gamintojas/emira/","Emira","UAB Emira","123111740","Vilnius","Verkių g. 43-1, Vilnius","LT-09109","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 687 51220","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/emira_ekspozicija/","2026-07-28"
"asdona","https://www.baldininkai.org/gamintojas/asdona/","Asdona","UAB Asdona","151329657","Vilnius","Antakalnio g. 4, Marijampolė","LT-68296","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 687 10471","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/asdona/","2026-07-28"
"tavo-baldai","https://www.baldininkai.org/gamintojas/tavo-baldai/","Tavo baldai","UAB Tavo baldai","302442461","Vilnius","Verkių g. 39, Vilnius","","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 602 42541","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/uab_tavo_baldai/","2026-07-28"
"privee","https://www.baldininkai.org/gamintojas/privee/","Privee","UAB Privee","302480234","Vilnius","Vytenio g. 13, Vilnius","LT-03112","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 659 00010","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/interio_vilnius_uab/","2026-07-28"
"nimava","https://www.baldininkai.org/gamintojas/nimava/","Nimava","UAB Nimava","302823811","Vilnius","Smolensko g. 11-26, Vilnius","LT-03201","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 622 12951","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/nimava/","2026-07-28"
"justura","https://www.baldininkai.org/gamintojas/justura/","Justura","UAB Justura","123637612","Vilnius","Justiniškių g. 16, Vilnius","LT-05100","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 000 00000","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/uab_justura/","2026-07-28"
"archiformus","https://www.baldininkai.org/gamintojas/archiformus/","Archiformus","UAB Archiformus","303419469","Vilnius","Linkmenų g. 17, Vilnius","LT-09300","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 682 35565","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/archiformus/","2026-07-28"
"miltra","https://www.baldininkai.org/gamintojas/miltra/","Miltra","MB Miltra","305913819","Vilnius","Žirmūnų g. 61-24, Vilnius","LT-09111","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 602 42474","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/miltra/","2026-07-28"
"politechnologiju-centras","https://www.baldininkai.org/gamintojas/politechnologiju-centras/","Politechnologijų centras","VšĮ Politechnologijų centras","305073471","Skaidiškės","Bangos g. 12, Pakonių k., Vilniaus r.","LT-14211","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 673 98982","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/politechnologiju_centras/","2026-07-28"
"eight-interjerai","https://www.baldininkai.org/gamintojas/eight-interjerai/","8 interjerai","MB 8 interjerai","306254097","Vilnius","Žirmūnų g. 97-59, Vilnius","LT-09115","Vilnius, rytų ir pietų Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius","+370 601 01559","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Vilnius | https://rekvizitai.vz.lt/en/company/8_interjerai/","2026-07-28"
"ebasibaldai","https://www.baldininkai.org/gamintojas/ebasibaldai/","Ebasibaldai","UAB Ebasibaldai","307166604","Kaunas","Povų g. 33, Digrių k., Kauno r.","LT-53369","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 602 00226","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/ebasibaldai/","2026-07-28"
"sdline","https://www.baldininkai.org/gamintojas/sdline/","SDLine","MB SDLine","306095741","Kaunas","Draugystės g. 17-1, Kaunas","LT-51229","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 652 59603","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/sdline/","2026-07-28"
"pupulis","https://www.baldininkai.org/gamintojas/pupulis/","Pupulis","UAB Pupulis","234691110","Kaunas","Panerių g. 55A-2A, Kaunas","LT-48327","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 37 454780","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/pupulis/","2026-07-28"
"uostamiescio-baldai","https://www.baldininkai.org/gamintojas/uostamiescio-baldai/","Uostamiesčio baldai","MB Uostamiesčio baldai","306971316","Radailiai","Šimkų g. 29, Radailių k., Klaipėdos r.","LT-92400","Klaipėda, Panevėžys, vakarų ir vidurio Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Klaip%C4%97da","+370 600 22024","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Klaip%C4%97da | https://rekvizitai.vz.lt/en/company/uostamiescio_baldai/","2026-07-28"
"girkasas","https://www.baldininkai.org/gamintojas/girkasas/","Girkasas","UAB Girkasas","135979844","Kaunas","Piliakalnio g. 3, Kaunas","LT-46224","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 37 390665","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/girkasas/","2026-07-28"
"dailsa","https://www.baldininkai.org/gamintojas/dailsa/","Dailsa","UAB Dailsa","302447526","Kaunas","Vaisių g. 17, Kaunas","","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 652 69281","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/uab_dailsa/","2026-07-28"
"tegrana","https://www.baldininkai.org/gamintojas/tegrana/","Tegrana","UAB Tegrana","303077994","Noreikiškės","Saulėtekio g. 2, Noreikiškių k., Kauno r.","LT-53365","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 682 41219","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/tegrana/","2026-07-28"
"baldai-sau","https://www.baldininkai.org/gamintojas/baldai-sau/","Baldai sau","UAB Baldai sau","303375300","Kaunas","A. Juozapavičiaus pr. 116, Kaunas","LT-45109","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 604 15880","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/vl_baldai/","2026-07-28"
"girios-medis","https://www.baldininkai.org/gamintojas/girios-medis/","Girios medis","UAB Girios medis","304058242","Pypliai","Eglės g. 5, Pyplių k., Kauno r.","LT-53456","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 670 07289","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/girios_medis/","2026-07-28"
"uosedma","https://www.baldininkai.org/gamintojas/uosedma/","Uosedma","UAB Uosedma","304193126","Kaunas","Medšarkių tak. 27, Kaunas","","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 650 52225","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/uosedma/","2026-07-28"
"minshape","https://www.baldininkai.org/gamintojas/minshape/","Minshape","M. Jakučionio IVV Minshape","2396383","Lapės","","","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","","public_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://get.data.gov.lt/datasets/gov/rc/jar/iregistruoti/JuridinisAsmuo | https://rekvizitai.vz.lt/en/company/mindaugo_jakucionio_individuali_veikla/","2026-07-28"
"a2a-lt","https://www.baldininkai.org/gamintojas/a2a-lt/","A2A LT","UAB A2A LT","304509916","Kaunas","Draugystės g. 17-1, Kaunas","","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 37 245777","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/a2a_lt/","2026-07-28"
"juodas-taskas","https://www.baldininkai.org/gamintojas/juodas-taskas/","Juodas taškas","UAB Juodas taškas","304632961","Kaunas","Alko g. 30, Kaunas","LT-45251","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 613 10119","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/juodas_taskas/","2026-07-28"
"nexa-lt","https://www.baldininkai.org/gamintojas/nexa-lt/","Nexa LT","UAB Nexa LT","304772671","Kaunas","Jonavos g. 20, Kaunas","LT-44262","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 623 94433","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/nexa_lt/","2026-07-28"
"eineros-baldai","https://www.baldininkai.org/gamintojas/eineros-baldai/","Eineros baldai","MB Eineros baldai","305151856","Karmėlava","Baldininkų g. 15, Karmėlava, Kauno r.","","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 655 65605","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/eineros_baldai/","2026-07-28"
"elniaragis","https://www.baldininkai.org/gamintojas/elniaragis/","Elniaragis","IĮ Elniaragis","305226892","Kaunas","Leipalingio g. 6A-1, Kaunas","","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 673 22573","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/elniaragis/","2026-07-28"
"ovalus-kampai","https://www.baldininkai.org/gamintojas/ovalus-kampai/","Ovalūs kampai","MB Ovalūs kampai","305336972","Kaunas","Raudondvario pl. 164, Kaunas","LT-47173","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 37 880185","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/ovalus_kampai/","2026-07-28"
"toto-baldai","https://www.baldininkai.org/gamintojas/toto-baldai/","Toto baldai","MB Toto baldai","305676708","Kaunas","Gražiškių k. 8, Gražiškių k., Šakių r.","LT-71281","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 618 71970","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/toto_baldai/","2026-07-28"
"baldu-kalnas","https://www.baldininkai.org/gamintojas/baldu-kalnas/","Baldų kalnas","MB Baldų kalnas","305621836","Kaunas","Nemuno g. 3","LT-46159","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","","public_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/baldu_kalnas/","2026-07-28"
"resize-design","https://www.baldininkai.org/gamintojas/resize-design/","Resize Design","UAB Resize Design","305529957","Kaunas","Jonavos g. 254, Kaunas","","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 614 40165","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/resize_design/","2026-07-28"
"baldrama","https://www.baldininkai.org/gamintojas/baldrama/","Baldrama","MB Baldrama","305691795","Kaunas","Parko g. 14, Ringaudai, Kauno r.","LT-53331","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 611 81125","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/baldrama/","2026-07-28"
"sapelli","https://www.baldininkai.org/gamintojas/sapelli/","Sapelli","UAB Sapelli","305755098","Kaunas","Kertupio g. 38, Neveronys, Kauno r.","LT-54487","Kaunas ir šiaurės Lietuva","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas","+370 603 04617","public_phone_and_contact_url","Kiti nestandartiniai baldai","https://www.info.lt/rubrika/Bald%C5%B3-gamyba/100419717/Kaunas | https://rekvizitai.vz.lt/en/company/sapelli_uab/","2026-07-28"
